Sexo;Edad;Periodo;Total
Mujeres;46 años;2064;337.675,317492
Mujeres;46 años;2063;345.042,09611
Mujeres;46 años;2062;347.747,858887
Mujeres;46 años;2061;349.037,675314
Mujeres;46 años;2060;347.033,115548
Mujeres;46 años;2059;356.925,291143
Mujeres;46 años;2058;364.224,519651
Mujeres;46 años;2057;366.105,818384
Mujeres;46 años;2056;369.945,917169
Mujeres;46 años;2055;381.842,688201
Mujeres;46 años;2054;374.134,366228
Mujeres;46 años;2053;372.238,68404
Mujeres;46 años;2052;367.709,982282
Mujeres;46 años;2051;363.590,358174
Mujeres;46 años;2050;359.693,109605
Mujeres;46 años;2049;349.894,819333
Mujeres;46 años;2048;347.321,667554
Mujeres;46 años;2047;342.659,756877
Mujeres;46 años;2046;336.412,951167
Mujeres;46 años;2045;326.882,202844
Mujeres;46 años;2044;326.559,953728
Mujeres;46 años;2043;321.683,916839
Mujeres;46 años;2042;316.819,491992
Mujeres;46 años;2041;315.965,366948
Mujeres;46 años;2040;320.162,113039
Mujeres;46 años;2039;323.699,441309
Mujeres;46 años;2038;318.216,231476
Mujeres;46 años;2037;318.772,812812
Mujeres;46 años;2036;319.202,053517
Mujeres;46 años;2035;320.324,176628
Mujeres;46 años;2034;320.584,447865
Mujeres;46 años;2033;324.655,107456
Mujeres;46 años;2032;329.874,179027
Mujeres;46 años;2031;337.277,198483
Mujeres;46 años;2030;343.384,104206
Mujeres;46 años;2029;356.705,045276
Mujeres;46 años;2028;366.725,198611
Mujeres;46 años;2027;379.732,61861
Mujeres;46 años;2026;386.890,066874
Mujeres;46 años;2025;399.350,121047
Mujeres;46 años;2024;400.160,478604
Mujeres;46 años;2023;405.712,593321
Mujeres;46 años;2022;399.403,499431
Mujeres;47 años;2072;323.905,622515
Mujeres;47 años;2071;322.271,475586
Mujeres;47 años;2070;320.982,020781
Mujeres;47 años;2069;320.623,832563
Mujeres;47 años;2068;322.220,622141
Mujeres;47 años;2067;327.538,836654
Mujeres;47 años;2066;331.849,390685
Mujeres;47 años;2065;339.478,831945
Mujeres;47 años;2064;346.807,085
Mujeres;47 años;2063;349.481,790205
Mujeres;47 años;2062;350.745,869427
Mujeres;47 años;2061;348.721,724449
Mujeres;47 años;2060;358.572,239044
Mujeres;47 años;2059;365.830,867894
Mujeres;47 años;2058;367.675,068643
Mujeres;47 años;2057;371.475,927861
Mujeres;47 años;2056;383.317,35856
Mujeres;47 años;2055;375.583,805344
Mujeres;47 años;2054;373.647,747663
Mujeres;47 años;2053;369.085,70607
Mujeres;47 años;2052;364.931,411351
Mujeres;47 años;2051;361.000,210316
Mujeres;47 años;2050;351.181,142041
Mujeres;47 años;2049;348.571,887224
Mujeres;47 años;2048;343.875,500559
Mujeres;47 años;2047;337.603,723883
Mujeres;47 años;2046;328.069,646013
Mujeres;47 años;2045;327.721,577388
Mujeres;47 años;2044;322.836,951286
Mujeres;47 años;2043;317.963,466196
Mujeres;47 años;2042;317.099,929922
Mujeres;47 años;2041;321.280,647951
Mujeres;47 años;2040;324.808,553229
Mujeres;47 años;2039;319.333,292046
Mujeres;47 años;2038;319.870,38785
Mujeres;47 años;2037;320.288,721607
Mujeres;47 años;2036;321.477,142944
Mujeres;47 años;2035;321.865,242064
Mujeres;47 años;2034;326.068,58702
Mujeres;47 años;2033;331.420,38321
Mujeres;47 años;2032;338.933,130911
Mujeres;47 años;2031;345.160,307788
Mujeres;47 años;2030;358.544,233988
Mujeres;47 años;2029;368.650,098826
Mujeres;47 años;2028;381.677,255649
Mujeres;47 años;2027;388.892,20111
Mujeres;47 años;2026;401.359,336902
Mujeres;47 años;2025;402.188,980116
Mujeres;47 años;2024;407.720,211298
Mujeres;47 años;2023;401.382,206619
Mujeres;47 años;2022;397.308,837269
Mujeres;48 años;2072;324.133,312943
Mujeres;48 años;2071;322.820,797217
Mujeres;48 años;2070;322.439,777598
Mujeres;48 años;2069;324.015,580158
Mujeres;48 años;2068;329.305,399585
Mujeres;48 años;2067;333.585,183971
Mujeres;48 años;2066;341.177,882578
Mujeres;48 años;2065;348.468,940927
Mujeres;48 años;2064;351.113,58568
Mujeres;48 años;2063;352.352,731363
Mujeres;48 años;2062;350.309,576646
Mujeres;48 años;2061;360.119,704489
Mujeres;48 años;2060;367.338,90299
Mujeres;48 años;2059;369.147,013488
Mujeres;48 años;2058;372.909,692019
Mujeres;48 años;2057;384.697,266909
Mujeres;48 años;2056;376.939,154743
Mujeres;48 años;2055;374.963,858004
Mujeres;48 años;2054;370.369,460166
Mujeres;48 años;2053;366.181,56366
Mujeres;48 años;2052;362.217,498049
Mujeres;48 años;2051;352.378,485575
Mujeres;48 años;2050;349.734,324377
Mujeres;48 años;2049;345.004,681995
Mujeres;48 años;2048;338.708,891295
Mujeres;48 años;2047;329.171,789573
Mujeres;48 años;2046;328.798,634844
Mujeres;48 años;2045;323.905,677666
Mujeres;48 años;2044;319.023,372701
Mujeres;48 años;2043;318.150,433068
Mujeres;48 años;2042;322.314,963812
Mujeres;48 años;2041;325.833,099074
Mujeres;48 años;2040;320.365,232863
Mujeres;48 años;2039;320.882,962403
Mujeres;48 años;2038;321.290,158902
Mujeres;48 años;2037;322.460,912466
Mujeres;48 años;2036;322.921,978575
Mujeres;48 años;2035;327.227,986713
Mujeres;48 años;2034;332.707,006773
Mujeres;48 años;2033;340.321,058536
Mujeres;48 años;2032;346.665,791099
Mujeres;48 años;2031;360.108,904314
Mujeres;48 años;2030;370.316,521056
Mujeres;48 años;2029;383.389,899196
Mujeres;48 años;2028;390.676,821214
Mujeres;48 años;2027;403.182,405544
Mujeres;48 años;2026;404.067,099154
Mujeres;48 años;2025;409.603,440573
Mujeres;48 años;2024;403.277,28756
Mujeres;48 años;2023;399.160,299635
Mujeres;48 años;2022;386.924,377617
Mujeres;49 años;2072;324.553,846145
Mujeres;49 años;2071;324.150,961297
Mujeres;49 años;2070;325.706,761717
Mujeres;49 años;2069;330.969,393734
Mujeres;49 años;2068;335.219,605865
Mujeres;49 años;2067;342.776,931213
Mujeres;49 años;2066;350.032,128195
Mujeres;49 años;2065;352.647,77261
Mujeres;49 años;2064;353.862,885876
Mujeres;49 años;2063;351.801,425245
Mujeres;49 años;2062;361.572,474345
Mujeres;49 años;2061;368.753,454264
Mujeres;49 años;2060;370.526,555358
Mujeres;49 años;2059;374.252,18059
Mujeres;49 años;2058;385.987,403491
Mujeres;49 años;2057;378.205,520022
Mujeres;49 años;2056;376.192,16856
Mujeres;49 años;2055;371.566,472325
Mujeres;49 años;2054;367.346,098497
Mujeres;49 años;2053;363.350,31116
Mujeres;49 años;2052;353.492,270897
Mujeres;49 años;2051;350.814,456744
Mujeres;49 años;2050;346.052,831856
Mujeres;49 años;2049;339.734,069057
Mujeres;49 años;2048;330.194,420684
Mujeres;49 años;2047;329.797,056396
Mujeres;49 años;2046;324.896,219662
Mujeres;49 años;2045;320.005,522471
Mujeres;49 años;2044;319.123,427832
Mujeres;49 años;2043;323.271,980463
Mujeres;49 años;2042;326.780,182367
Mujeres;49 años;2041;321.319,417127
Mujeres;49 años;2040;321.818,09574
Mujeres;49 años;2039;322.214,151406
Mujeres;49 años;2038;323.367,402555
Mujeres;49 años;2037;323.820,922348
Mujeres;49 años;2036;328.178,66774
Mujeres;49 años;2035;333.756,291526
Mujeres;49 años;2034;341.469,059163
Mujeres;49 años;2033;347.922,373216
Mujeres;49 años;2032;361.427,315999
Mujeres;49 años;2031;371.729,112532
Mujeres;49 años;2030;384.867,686067
Mujeres;49 años;2029;392.247,090218
Mujeres;49 años;2028;404.805,908709
Mujeres;49 años;2027;405.773,230648
Mujeres;49 años;2026;411.349,82163
Mujeres;49 años;2025;405.060,476683
Mujeres;49 años;2024;400.919,567897
Mujeres;49 años;2023;388.705,945379
Mujeres;49 años;2022;385.695,700668
Mujeres;50 años;2072;325.760,613509
Mujeres;50 años;2071;327.297,308051
Mujeres;50 años;2070;332.533,822531
Mujeres;50 años;2069;336.755,536285
Mujeres;50 años;2068;344.278,685842
Mujeres;50 años;2067;351.499,199354
Mujeres;50 años;2066;354.086,8166
Mujeres;50 años;2065;355.278,74349
Mujeres;50 años;2064;353.199,674936
Mujeres;50 años;2063;362.932,785935
Mujeres;50 años;2062;370.076,636559
Mujeres;50 años;2061;371.815,72353
Mujeres;50 años;2060;375.505,328919
Mujeres;50 años;2059;387.189,513041
Mujeres;50 años;2058;379.384,669869
Mujeres;50 años;2057;377.334,384938
Mujeres;50 años;2056;372.678,418967
Mujeres;50 años;2055;368.426,665263
Mujeres;50 años;2054;364.400,270416
Mujeres;50 años;2053;354.524,161795
Mujeres;50 años;2052;351.813,924028
Mujeres;50 años;2051;347.021,587236
Mujeres;50 años;2050;340.680,948902
Mujeres;50 años;2049;331.139,388324
Mujeres;50 años;2048;330.718,770195
Mujeres;50 años;2047;325.810,664864
Mujeres;50 años;2046;320.912,181195
Mujeres;50 años;2045;320.021,37192
Mujeres;50 años;2044;324.154,350839
Mujeres;50 años;2043;327.652,810222
Mujeres;50 años;2042;322.199,021149
Mujeres;50 años;2041;322.679,178774
Mujeres;50 años;2040;323.064,349522
Mujeres;50 años;2039;324.200,506071
Mujeres;50 años;2038;324.646,599905
Mujeres;50 años;2037;328.980,097817
Mujeres;50 años;2036;334.607,821491
Mujeres;50 años;2035;342.394,326391
Mujeres;50 años;2034;348.952,989011
Mujeres;50 años;2033;362.515,821449
Mujeres;50 años;2032;372.911,08524
Mujeres;50 años;2031;386.111,24994
Mujeres;50 años;2030;393.597,262393
Mujeres;50 años;2029;406.230,270861
Mujeres;50 años;2028;407.292,385995
Mujeres;50 años;2027;412.937,032955
Mujeres;50 años;2026;406.718,615149
Mujeres;50 años;2025;402.581,128025
Mujeres;50 años;2024;390.411,61533
Mujeres;50 años;2023;387.335,376275
Mujeres;50 años;2022;380.351,732685
Mujeres;51 años;2072;328.787,626141
Mujeres;51 años;2071;333.998,774931
Mujeres;51 años;2070;338.192,733041
Mujeres;51 años;2069;345.682,519409
Mujeres;51 años;2068;352.869,1203
Mujeres;51 años;2067;355.429,337104
Mujeres;51 años;2066;356.598,599601
Mujeres;51 años;2065;354.502,338173
Mujeres;51 años;2064;364.198,149431
Mujeres;51 años;2063;371.305,452073
Mujeres;51 años;2062;373.011,074772
Mujeres;51 años;2061;376.665,183356
Mujeres;51 años;2060;388.298,942405
Mujeres;51 años;2059;380.471,597577
Mujeres;51 años;2058;378.384,989704
Mujeres;51 años;2057;373.699,32254
Mujeres;51 años;2056;369.416,793775
Mujeres;51 años;2055;365.360,40499
Mujeres;51 años;2054;355.466,832684
Mujeres;51 años;2053;352.724,837713
Mujeres;51 años;2052;347.902,536319
Mujeres;51 años;2051;341.540,669799
Mujeres;51 años;2050;331.997,566964
Mujeres;51 años;2049;331.554,057371
Mujeres;51 años;2048;326.638,890875
Mujeres;51 años;2047;321.732,80521
Mujeres;51 años;2046;320.833,180408
Mujeres;51 años;2045;324.950,226723
Mujeres;51 años;2044;328.438,380653
Mujeres;51 años;2043;322.991,167783
Mujeres;51 años;2042;323.452,423216
Mujeres;51 años;2041;323.826,210167
Mujeres;51 años;2040;324.944,805865
Mujeres;51 años;2039;325.382,7435
Mujeres;51 años;2038;329.691,306321
Mujeres;51 años;2037;335.295,233441
Mujeres;51 años;2036;343.109,067372
Mujeres;51 años;2035;349.746,632071
Mujeres;51 años;2034;363.365,390609
Mujeres;51 años;2033;373.844,914566
Mujeres;51 años;2032;387.105,803511
Mujeres;51 años;2031;394.688,755609
Mujeres;51 años;2030;407.407,103005
Mujeres;51 años;2029;408.579,525498
Mujeres;51 años;2028;414.301,77243
Mujeres;51 años;2027;408.178,721181
Mujeres;51 años;2026;404.078,416968
Mujeres;51 años;2025;391.975,170997
Mujeres;51 años;2024;388.863,683701
Mujeres;51 años;2023;381.845,390489
Mujeres;51 años;2022;375.170,786783
Mujeres;52 años;2072;335.363,151805
Mujeres;52 años;2071;339.530,090033
Mujeres;52 años;2070;346.987,2947
Mujeres;52 años;2069;354.140,743851
Mujeres;52 años;2068;356.674,228078
Mujeres;52 años;2067;357.821,43462
Mujeres;52 años;2066;355.708,520835
Mujeres;52 años;2065;365.367,697164
Mujeres;52 años;2064;372.439,08407
Mujeres;52 años;2063;374.111,860598
Mujeres;52 años;2062;377.731,082856
Mujeres;52 años;2061;389.315,063925
Mujeres;52 años;2060;381.465,814341
Mujeres;52 años;2059;379.343,579722
Mujeres;52 años;2058;374.628,89222
Mujeres;52 años;2057;370.316,301991
Mujeres;52 años;2056;366.230,643714
Mujeres;52 años;2055;356.320,352276
Mujeres;52 años;2054;353.547,382936
Mujeres;52 años;2053;348.695,978534
Mujeres;52 años;2052;342.313,687588
Mujeres;52 años;2051;332.769,64424
Mujeres;52 años;2050;332.303,846022
Mujeres;52 años;2049;327.382,106306
Mujeres;52 años;2048;322.468,898695
Mujeres;52 años;2047;321.560,713445
Mujeres;52 años;2046;325.661,899687
Mujeres;52 años;2045;329.139,660601
Mujeres;52 años;2044;323.699,04622
Mujeres;52 años;2043;324.141,56576
Mujeres;52 años;2042;324.503,762262
Mujeres;52 años;2041;325.604,797785
Mujeres;52 años;2040;326.034,361852
Mujeres;52 años;2039;330.317,844026
Mujeres;52 años;2038;335.897,669672
Mujeres;52 años;2037;343.669,827734
Mujeres;52 años;2036;350.342,018376
Mujeres;52 años;2035;363.994,539931
Mujeres;52 años;2034;374.554,28734
Mujeres;52 años;2033;387.869,536242
Mujeres;52 años;2032;395.546,200088
Mujeres;52 años;2031;408.341,457286
Mujeres;52 años;2030;409.633,916487
Mujeres;52 años;2029;415.449,375867
Mujeres;52 años;2028;409.431,442323
Mujeres;52 años;2027;405.394,779075
Mujeres;52 años;2026;393.387,862686
Mujeres;52 años;2025;390.266,716276
Mujeres;52 años;2024;383.241,07992
Mujeres;52 años;2023;376.511,15258
Mujeres;52 años;2022;372.071,909705
Mujeres;53 años;2072;340.763,293599
Mujeres;53 años;2071;348.188,623789
Mujeres;53 años;2070;355.309,617014
Mujeres;53 años;2069;357.817,024722
Mujeres;53 años;2068;358.942,800328
Mujeres;53 años;2067;356.813,835621
Mujeres;53 años;2066;366.437,007384
Mujeres;53 años;2065;373.473,086102
Mujeres;53 años;2064;375.113,626989
Mujeres;53 años;2063;378.698,557584
Mujeres;53 años;2062;390.233,354139
Mujeres;53 años;2061;382.362,836696
Mujeres;53 años;2060;380.205,658379
Mujeres;53 años;2059;375.462,645858
Mujeres;53 años;2058;371.120,720817
Mujeres;53 años;2057;367.006,538051
Mujeres;53 años;2056;357.080,328222
Mujeres;53 años;2055;354.277,190747
Mujeres;53 años;2054;349.397,564725
Mujeres;53 años;2053;342.995,721028
Mujeres;53 años;2052;333.451,511834
Mujeres;53 años;2051;332.964,162512
Mujeres;53 años;2050;328.036,546579
Mujeres;53 años;2049;323.116,911492
Mujeres;53 años;2048;322.200,693312
Mujeres;53 años;2047;326.286,393124
Mujeres;53 años;2046;329.754,033957
Mujeres;53 años;2045;324.320,395648
Mujeres;53 años;2044;324.744,64597
Mujeres;53 años;2043;325.095,564284
Mujeres;53 años;2042;326.179,205349
Mujeres;53 años;2041;326.600,586042
Mujeres;53 años;2040;330.859,232981
Mujeres;53 años;2039;336.415,097378
Mujeres;53 años;2038;344.145,914038
Mujeres;53 años;2037;350.787,647286
Mujeres;53 años;2036;364.434,198511
Mujeres;53 años;2035;375.051,255218
Mujeres;53 años;2034;388.418,726758
Mujeres;53 años;2033;396.180,674432
Mujeres;53 años;2032;409.050,234286
Mujeres;53 años;2031;410.453,404011
Mujeres;53 años;2030;416.371,797093
Mujeres;53 años;2029;410.473,938922
Mujeres;53 años;2028;406.512,85501
Mujeres;53 años;2027;394.624,449544
Mujeres;53 años;2026;391.526,969875
Mujeres;53 años;2025;384.518,193307
Mujeres;53 años;2024;377.784,458055
Mujeres;53 años;2023;373.303,311465
Mujeres;53 años;2022;369.244,727133
Mujeres;54 años;2072;349.280,78499
Mujeres;54 años;2071;356.369,834628
Mujeres;54 años;2070;358.851,66298
Mujeres;54 años;2069;359.956,504057
Mujeres;54 años;2068;357.811,97628
Mujeres;54 años;2067;367.399,563002
Mujeres;54 años;2066;374.400,714915
Mujeres;54 años;2065;376.009,395129
Mujeres;54 años;2064;379.560,376223
Mujeres;54 años;2063;391.046,222103
Mujeres;54 años;2062;383.154,862456
Mujeres;54 años;2061;380.963,104252
Mujeres;54 años;2060;376.192,179561
Mujeres;54 años;2059;371.821,341571
Mujeres;54 años;2058;367.679,06971
Mujeres;54 años;2057;357.737,506639
Mujeres;54 años;2056;354.904,656886
Mujeres;54 años;2055;349.997,345894
Mujeres;54 años;2054;343.576,526357
Mujeres;54 años;2053;334.032,772435
Mujeres;54 años;2052;333.524,280032
Mujeres;54 años;2051;328.591,271676
Mujeres;54 años;2050;323.665,685304
Mujeres;54 años;2049;322.741,70046
Mujeres;54 años;2048;326.811,92894
Mujeres;54 años;2047;330.269,369511
Mujeres;54 años;2046;324.842,910777
Mujeres;54 años;2045;325.248,924701
Mujeres;54 años;2044;325.588,466759
Mujeres;54 años;2043;326.654,556592
Mujeres;54 años;2042;327.067,288377
Mujeres;54 años;2041;331.300,671359
Mujeres;54 años;2040;336.831,958306
Mujeres;54 años;2039;344.520,772958
Mujeres;54 años;2038;351.131,278324
Mujeres;54 años;2037;364.710,344724
Mujeres;54 años;2036;375.344,364229
Mujeres;54 años;2035;388.741,7078
Mujeres;54 años;2034;396.582,693386
Mujeres;54 años;2033;409.516,410813
Mujeres;54 años;2032;411.024,588214
Mujeres;54 años;2031;417.034,951818
Mujeres;54 años;2030;411.264,33471
Mujeres;54 años;2029;407.393,40405
Mujeres;54 años;2028;395.630,33114
Mujeres;54 años;2027;392.580,057071
Mujeres;54 años;2026;385.617,085528
Mujeres;54 años;2025;378.901,238148
Mujeres;54 años;2024;374.440,377149
Mujeres;54 años;2023;370.284,420026
Mujeres;54 años;2022;372.082,948796
Mujeres;55 años;2072;357.312,511711
Mujeres;55 años;2071;359.769,332686
Mujeres;55 años;2070;360.853,858657
Mujeres;55 años;2069;358.694,42687
Mujeres;55 años;2068;368.246,920593
Mujeres;55 años;2067;375.213,626273
Mujeres;55 años;2066;376.790,933985
Mujeres;55 años;2065;380.308,430997
Mujeres;55 años;2064;391.745,647946
Mujeres;55 años;2063;383.834,039109
Mujeres;55 años;2062;381.608,193833
Mujeres;55 años;2061;376.809,922207
Mujeres;55 años;2060;372.410,754488
Mujeres;55 años;2059;368.241,002298
Mujeres;55 años;2058;358.284,855649
Mujeres;55 años;2057;355.422,93919
Mujeres;55 años;2056;350.488,660417
Mujeres;55 años;2055;344.049,676905
Mujeres;55 años;2054;334.507,330454
Mujeres;55 años;2053;333.978,439944
Mujeres;55 años;2052;329.040,920211
Mujeres;55 años;2051;324.110,266923
Mujeres;55 años;2050;323.179,289916
Mujeres;55 años;2049;327.234,659718
Mujeres;55 años;2048;330.682,491244
Mujeres;55 años;2047;325.264,007038
Mujeres;55 años;2046;325.652,412604
Mujeres;55 años;2045;325.981,15404
Mujeres;55 años;2044;327.030,226173
Mujeres;55 años;2043;327.434,799351
Mujeres;55 años;2042;331.643,087467
Mujeres;55 años;2041;337.150,100886
Mujeres;55 años;2040;344.797,193898
Mujeres;55 años;2039;351.376,744817
Mujeres;55 años;2038;364.888,522535
Mujeres;55 años;2037;375.483,101305
Mujeres;55 años;2036;388.874,33488
Mujeres;55 años;2035;396.772,538395
